,M,F,overall,agedays
56,2.68693078573419e-05,2.11290028353065e-05,2.39991553463242e-05,56
57,2.68176907893597e-05,2.10886378908207e-05,2.39531643400902e-05,57
58,2.67660737213774e-05,2.10482729463349e-05,2.39071733338561e-05,58
59,2.67144566533951e-05,2.10079080018491e-05,2.38611823276221e-05,59
60,2.66628395854128e-05,2.09675430573633e-05,2.38151913213881e-05,60
61,2.66112225174305e-05,2.09271781128775e-05,2.3769200315154e-05,61
62,2.65596054494482e-05,2.08868131683917e-05,2.372320930892e-05,62
63,2.65079883814659e-05,2.0846448223906e-05,2.36772183026859e-05,63
64,2.64563713134836e-05,2.08060832794202e-05,2.36312272964519e-05,64
65,2.64047542455013e-05,2.07657183349344e-05,2.35852362902179e-05,65
66,2.63531371775191e-05,2.07253533904486e-05,2.35392452839838e-05,66
67,2.63015201095368e-05,2.06849884459628e-05,2.34932542777498e-05,67
68,2.62499030415545e-05,2.0644623501477e-05,2.34472632715158e-05,68
69,2.61982859735722e-05,2.06042585569913e-05,2.34012722652817e-05,69
70,2.61466689055899e-05,2.05638936125055e-05,2.33552812590477e-05,70
71,2.60950518376076e-05,2.05235286680197e-05,2.33092902528136e-05,71
72,2.60434347696253e-05,2.04831637235339e-05,2.32632992465796e-05,72
73,2.5991817701643e-05,2.04427987790481e-05,2.32173082403456e-05,73
74,2.59402006336607e-05,2.04024338345623e-05,2.31713172341115e-05,74
75,2.58885835656784e-05,2.03620688900765e-05,2.31253262278775e-05,75
76,2.58369664976962e-05,2.03217039455908e-05,2.30793352216435e-05,76
77,2.57853494297139e-05,2.0281339001105e-05,2.30333442154094e-05,77
78,2.57337323617316e-05,2.02409740566192e-05,2.29873532091754e-05,78
79,2.56821152937493e-05,2.02006091121334e-05,2.29413622029413e-05,79
80,2.5630498225767e-05,2.01602441676476e-05,2.28953711967073e-05,80
81,2.55788811577847e-05,2.01198792231618e-05,2.28493801904733e-05,81
82,2.55272640898024e-05,2.0079514278676e-05,2.28033891842392e-05,82
83,2.54756470218201e-05,2.00391493341903e-05,2.27573981780052e-05,83
84,2.54240299538378e-05,1.99987843897045e-05,2.27114071717712e-05,84
85,2.53724128858555e-05,1.99584194452187e-05,2.26654161655371e-05,85
86,2.53207958178733e-05,1.99180545007329e-05,2.26194251593031e-05,86
87,2.5269178749891e-05,1.98776895562471e-05,2.2573434153069e-05,87
88,2.52175616819087e-05,1.98373246117613e-05,2.2527443146835e-05,88
89,2.51659446139264e-05,1.97969596672756e-05,2.2481452140601e-05,89
90,2.51143275459441e-05,1.97565947227898e-05,2.24354611343669e-05,90
91,2.50627104779618e-05,1.9716229778304e-05,2.23894701281329e-05,91
92,2.50110934099795e-05,1.96758648338182e-05,2.23434791218989e-05,92
93,2.49594763419972e-05,1.96354998893324e-05,2.22974881156648e-05,93
94,2.49078592740149e-05,1.95951349448466e-05,2.22514971094308e-05,94
95,2.48562422060326e-05,1.95547700003608e-05,2.22055061031967e-05,95
96,2.48046251380504e-05,1.95144050558751e-05,2.21595150969627e-05,96
97,2.47530080700681e-05,1.94740401113893e-05,2.21135240907287e-05,97
98,2.47013910020858e-05,1.94336751669035e-05,2.20675330844946e-05,98
99,2.46497739341035e-05,1.93933102224177e-05,2.20215420782606e-05,99
100,2.45981568661212e-05,1.93529452779319e-05,2.19755510720266e-05,100
101,2.45465397981389e-05,1.93125803334461e-05,2.19295600657925e-05,101
102,2.44949227301566e-05,1.92722153889603e-05,2.18835690595585e-05,102
103,2.44433056621743e-05,1.92318504444746e-05,2.18375780533244e-05,103
104,2.4391688594192e-05,1.91914854999888e-05,2.17915870470904e-05,104
105,2.43400715262098e-05,1.9151120555503e-05,2.17455960408564e-05,105
106,2.42884544582275e-05,1.91107556110172e-05,2.16996050346223e-05,106
107,2.42368373902452e-05,1.90703906665314e-05,2.16536140283883e-05,107
108,2.41852203222629e-05,1.90300257220456e-05,2.16076230221543e-05,108
109,2.41336032542806e-05,1.89896607775599e-05,2.15616320159202e-05,109
110,2.40819861862983e-05,1.89492958330741e-05,2.15156410096862e-05,110
111,2.4030369118316e-05,1.89089308885883e-05,2.14696500034521e-05,111
112,2.39787520503337e-05,1.88685659441025e-05,2.14236589972181e-05,112
113,2.39271349823514e-05,1.88282009996167e-05,2.13776679909841e-05,113
114,2.38755179143691e-05,1.87878360551309e-05,2.133167698475e-05,114
115,2.38239008463869e-05,1.87474711106451e-05,2.1285685978516e-05,115
116,2.37722837784046e-05,1.87071061661594e-05,2.1239694972282e-05,116
117,2.37206667104223e-05,1.86667412216736e-05,2.11937039660479e-05,117
118,2.366904964244e-05,1.86263762771878e-05,2.11477129598139e-05,118
119,2.36174325744577e-05,1.8586011332702e-05,2.11017219535798e-05,119
120,2.35658155064754e-05,1.85456463882162e-05,2.10557309473458e-05,120
121,2.35141984384931e-05,1.85052814437304e-05,2.10097399411118e-05,121
122,2.34625813705108e-05,1.84649164992446e-05,2.09637489348777e-05,122
123,2.34109643025285e-05,1.84245515547589e-05,2.09177579286437e-05,123
124,2.33593472345462e-05,1.83841866102731e-05,2.08717669224097e-05,124
125,2.33077301665639e-05,1.83438216657873e-05,2.08257759161756e-05,125
126,2.32561130985817e-05,1.83034567213015e-05,2.07797849099416e-05,126
127,2.32044960305994e-05,1.82630917768157e-05,2.07337939037076e-05,127
128,2.31528789626171e-05,1.82227268323299e-05,2.06878028974735e-05,128
129,2.31012618946348e-05,1.81823618878442e-05,2.06418118912395e-05,129
130,2.30496448266525e-05,1.81419969433584e-05,2.05958208850054e-05,130
131,2.29980277586702e-05,1.81016319988726e-05,2.05498298787714e-05,131
132,2.29464106906879e-05,1.80612670543868e-05,2.05038388725374e-05,132
133,2.28947936227056e-05,1.8020902109901e-05,2.04578478663033e-05,133
134,2.28431765547233e-05,1.79805371654152e-05,2.04118568600693e-05,134
135,2.27915594867411e-05,1.79401722209294e-05,2.03658658538353e-05,135
136,2.27399424187588e-05,1.78998072764437e-05,2.03198748476012e-05,136
137,2.26883253507765e-05,1.78594423319579e-05,2.02738838413672e-05,137
138,2.26367082827942e-05,1.78190773874721e-05,2.02278928351331e-05,138
139,2.25850912148119e-05,1.77787124429863e-05,2.01819018288991e-05,139
140,2.25334741468296e-05,1.77383474985005e-05,2.01359108226651e-05,140
141,2.24818570788473e-05,1.76979825540147e-05,2.0089919816431e-05,141
142,2.2430240010865e-05,1.76576176095289e-05,2.0043928810197e-05,142
